組み合わせ,共起回数
"人間, 居る, 為る, 自分",105
"人間, 居る, 為る, 為る, 自分",82
"人間, 為る, 自分",82
"人間, 為る, 為る, 自分",58
"人間, 居る, 遣る",31
"人間, 居る, 為る, 遣る",38
"人間, 為る, 遣る",66
"人間, 為る, 為る, 遣る",106
"人間, 無い, 物",34
"人間, 為る, 無い, 物",58
"人間, 為る, 物, 言う",34
"人間, 居る, 為る, 物, 言う",62
"人間, 居る, 物, 言う",51
"人間, 居る, 居る, 物, 言う",54
"人間, 居る, 居る, 物",37
"人間, 居る, 居る, 為る, 物",60
"人間, 居る, 為る, 物",62
"人間, 居る, 為る, 為る, 物",30
"人間, 為る, 物",82
"人間, 為る, 為る, 物",66
"人間, 為る, 見る, 言う",45
"人間, 居る, 為る, 見る, 言う",107
"人間, 居る, 見る, 言う",67
"人間, 居る, 居る, 見る, 言う",95
"人間, 為る, 為る, 見る",47
"人間, 居る, 為る, 為る, 見る",61
"人間, 居る, 為る, 見る",120
"人間, 居る, 居る, 為る, 見る",149
"人間, 居る, 見る",78
"人間, 居る, 居る, 見る",79
"人間, 来る, 猫",35
"人間, 来る, 為る, 猫",49
"人間, 成る, 来る",38
"人間, 成る, 来る, 為る",46
"人間, 居る, 来る, 言う",47
"人間, 居る, 来る, 為る, 言う",56
"人間, 居る, 来る, 為る",59
"人間, 居る, 来る, 為る, 為る",41
"人間, 来る, 言う",46
"人間, 来る, 為る, 言う",54
"人間, 来る, 為る",95
"人間, 来る, 為る, 為る",89
"人間, 居る, 良い, 言う",39
"人間, 居る, 為る, 良い, 言う",68
"人間, 居る, 為る, 良い",55
"人間, 居る, 為る, 為る, 良い",38
"人間, 良い, 言う",43
"人間, 為る, 良い, 言う",51
"人間, 無い, 良い",43
"人間, 為る, 無い, 良い",77
"人間, 為る, 良い",103
"人間, 為る, 為る, 良い",105
"人間, 居る, 居る, 猫",31
"人間, 居る, 居る, 為る, 猫",109
"人間, 居る, 為る, 猫",127
"人間, 居る, 為る, 為る, 猫",162
"人間, 為る, 猫",104
"人間, 為る, 為る, 猫",83
"事, 人間, 居る, 思う",36
"事, 人間, 居る, 思う, 為る",73
"事, 人間, 思う, 為る",60
"事, 人間, 思う, 為る, 為る",45
"人間, 居る, 思う, 成る",32
"人間, 居る, 思う, 成る, 為る",52
"人間, 思う, 成る, 為る",59
"人間, 思う, 成る, 為る, 為る",54
"人間, 居る, 思う, 有る",34
"人間, 居る, 思う, 有る, 為る",49
"人間, 思う, 有る, 為る",52
"人間, 思う, 有る, 為る, 為る",35
"人間, 居る, 思う, 無い, 言う",34
"人間, 居る, 思う, 為る, 無い, 言う",53
"人間, 思う, 為る, 無い, 言う",50
"人間, 思う, 為る, 為る, 無い, 言う",41
"人間, 居る, 思う, 無い",43
"人間, 居る, 思う, 為る, 無い",67
"人間, 思う, 為る, 無い",70
"人間, 思う, 為る, 為る, 無い",58
"人間, 居る, 居る, 思う, 言う",33
"人間, 居る, 居る, 思う, 為る, 言う",51
"人間, 居る, 思う, 為る, 言う",70
"人間, 居る, 思う, 為る, 為る, 言う",44
"人間, 思う, 為る, 言う",64
"人間, 思う, 為る, 為る, 言う",39
"人間, 居る, 居る, 思う",37
"人間, 居る, 居る, 思う, 為る",54
"人間, 居る, 思う, 為る",115
"人間, 居る, 思う, 為る, 為る",76
"人間, 思う, 為る",131
"人間, 思う, 為る, 為る",88
"人間, 成る, 有る",31
"人間, 成る, 有る, 為る",37
"人間, 有る, 無い",37
"人間, 有る, 為る, 無い",45
"事, 人間, 居る, 有る, 言う",46
"事, 人間, 居る, 有る, 為る, 言う",70
"事, 人間, 有る, 為る, 言う",57
"事, 人間, 有る, 為る, 為る, 言う",32
"事, 人間, 居る, 居る, 有る",36
"事, 人間, 居る, 居る, 有る, 為る",71
"事, 人間, 居る, 有る, 為る",110
"事, 人間, 居る, 有る, 為る, 為る",75
"事, 人間, 有る, 為る",99
"事, 人間, 有る, 為る, 為る",88
"人間, 有る, 言う, 言う",32
"人間, 有る, 為る, 言う, 言う",34
"人間, 居る, 居る, 有る, 言う",36
"人間, 居る, 居る, 有る, 為る, 言う",55
"人間, 居る, 有る, 為る, 言う",93
"人間, 居る, 有る, 為る, 為る, 言う",68
"人間, 有る, 為る, 言う",77
"人間, 有る, 為る, 為る, 言う",44
"人間, 居る, 居る, 有る",65
"人間, 居る, 居る, 有る, 為る",121
"人間, 居る, 有る, 為る",165
"人間, 居る, 有る, 為る, 為る",110
"人間, 有る, 為る",144
"人間, 有る, 為る, 為る",114
"事, 人間, 成る, 言う",30
"事, 人間, 成る, 為る, 言う",34
"事, 人間, 成る, 為る",75
"事, 人間, 成る, 為る, 為る",76
"事, 人間, 居る, 無い",32
"事, 人間, 居る, 為る, 無い",34
"事, 人間, 無い, 言う",48
"事, 人間, 為る, 無い, 言う",47
"事, 人間, 為る, 無い",54
"事, 人間, 為る, 為る, 無い",34
"事, 人間, 言う, 言う",30
"事, 人間, 為る, 言う, 言う",32
"事, 人間, 居る, 言う",61
"事, 人間, 居る, 為る, 言う",75
"事, 人間, 為る, 言う",87
"事, 人間, 為る, 為る, 言う",46
"事, 人間, 居る, 居る",45
"事, 人間, 居る, 居る, 為る",81
"事, 人間, 居る, 為る",150
"事, 人間, 居る, 為る, 為る",113
"事, 人間, 為る",155
"事, 人間, 為る, 為る",128
"人間, 成る, 成る",32
"人間, 成る, 成る, 為る",58
"人間, 居る, 成る, 無い, 言う",34
"人間, 居る, 成る, 為る, 無い, 言う",70
"人間, 成る, 為る, 無い, 言う",69
"人間, 成る, 為る, 為る, 無い, 言う",55
"人間, 居る, 成る, 言う",43
"人間, 居る, 成る, 為る, 言う",63
"人間, 成る, 為る, 言う",75
"人間, 成る, 為る, 為る, 言う",43
"人間, 居る, 成る, 無い",51
"人間, 居る, 成る, 為る, 無い",105
"人間, 成る, 為る, 無い",113
"人間, 成る, 為る, 為る, 無い",88
"人間, 居る, 成る",83
"人間, 居る, 成る, 為る",159
"人間, 成る, 為る",185
"人間, 成る, 為る, 為る",167
"人間, 居る, 無い, 無い",31
"人間, 居る, 為る, 無い, 無い",45
"人間, 為る, 無い, 無い",56
"人間, 為る, 為る, 無い, 無い",33
"人間, 居る, 無い, 言う",73
"人間, 居る, 為る, 無い, 言う",93
"人間, 居る, 為る, 無い",126
"人間, 居る, 為る, 為る, 無い",81
"人間, 無い, 言う, 言う",41
"人間, 為る, 無い, 言う, 言う",46
"人間, 為る, 無い, 言う",120
"人間, 為る, 為る, 無い, 言う",68
"人間, 為る, 無い",202
"人間, 為る, 為る, 無い",141
"人間, 居る, 言う, 言う",36
"人間, 居る, 為る, 言う, 言う",54
"人間, 為る, 言う, 言う",64
"人間, 居る, 居る, 居る, 言う",36
"人間, 居る, 居る, 居る, 為る, 言う",73
"人間, 居る, 居る, 為る, 言う",135
"人間, 居る, 居る, 為る, 為る, 言う",83
"人間, 居る, 為る, 言う",207
"人間, 居る, 為る, 為る, 言う",129
"人間, 為る, 言う",207
"人間, 為る, 為る, 言う",109
"人間, 居る, 居る, 居る",54
"人間, 居る, 居る, 居る, 為る",122
"人間, 居る, 居る, 為る",274
"人間, 居る, 居る, 為る, 為る",226
"人間, 居る, 為る",447
"人間, 居る, 為る, 為る",332
"人間, 為る",506
"人間, 為る, 為る",350
"使う, 凄い",31
"使う, 自分",32
"使う, 御座る",32
"人, 使う",33
"人, 使う, 為る",36
"使う, 後",34
"使う, 方",34
"使う, 出来る",35
"使う, 出来る, 為る",39
"使う, 物",38
"使う, 為る, 物",31
"使う, 時",40
"使う, 時, 為る",49
"使う, 来る",41
"使う, 来る, 為る",33
"使う, 分かる",41
"使う, 分かる, 為る",35
"使う, 欲しい",48
"使う, 欲しい, 為る",46
"仕舞う, 使う",49
"仕舞う, 使う, 為る",41
"使う, 使う",54
"使う, 使う, 為る",43
"使う, 成る, 気",37
"使う, 成る, 気, 為る",39
"使う, 気, 為る",62
"使う, 買う",62
"使う, 見る",63
"使う, 為る, 見る",45
"事, 使う, 有る",32
"事, 使う, 言う",37
"事, 使う, 為る, 言う",41
"事, 使う, 為る",46
"使う, 居る, 思う",31
"使う, 居る, 思う, 為る",42
"使う, 思う, 有る",36
"使う, 思う, 有る, 為る",39
"使う, 思う, 良い",37
"使う, 思う, 為る, 良い",31
"使う, 思う, 言う",38
"使う, 思う, 為る, 言う",46
"使う, 思う, 為る",64
"使う, 思う, 為る, 為る",31
"使う, 成る, 良い",35
"使う, 成る, 為る, 良い",53
"使う, 成る, 為る",68
"使う, 有る, 無い",35
"使う, 有る, 為る, 無い",42
"使う, 居る, 無い",35
"使う, 居る, 為る, 無い",53
"使う, 無い, 良い",41
"使う, 為る, 無い, 良い",30
"使う, 無い, 言う",47
"使う, 為る, 無い, 言う",46
"使う, 為る, 無い",86
"使う, 為る, 為る, 無い",35
"使う, 居る, 有る",31
"使う, 居る, 有る, 為る",44
"使う, 有る, 言う",42
"使う, 有る, 為る, 言う",56
"使う, 有る, 良い",44
"使う, 有る, 為る, 良い",41
"使う, 有る, 為る",106
"使う, 有る, 為る, 為る",58
"使う, 居る, 良い",35
"使う, 居る, 為る, 良い",38
"使う, 居る, 居る",39
"使う, 居る, 居る, 為る",74
"使う, 居る, 言う",46
"使う, 居る, 為る, 言う",56
"使う, 居る, 為る",143
"使う, 居る, 為る, 為る",84
"使う, 言う, 言う",32
"使う, 良い, 言う",46
"使う, 為る, 良い, 言う",48
"使う, 為る, 言う",113
"使う, 為る, 為る, 言う",49
"使う, 良い",146
"使う, 為る, 良い",106
"使う, 為る",305
"使う, 為る, 為る",111
"今, 気持ち",30
"今, 気持ち, 為る",36
"気持ち, 読む",31
"気持ち, 話",31
"気持ち, 為る, 話",39
"凄い, 気持ち",35
"凄い, 気持ち, 為る",36
"気持ち, 自分",37
"気持ち, 為る, 自分",58
"気持ち, 物",38
"気持ち, 為る, 物",40
"一, 気持ち",39
"一, 気持ち, 為る",36
"人, 居る, 気持ち",43
"人, 居る, 気持ち, 為る",48
"人, 気持ち, 為る",55
"人, 気持ち, 為る, 為る",52
"出来る, 気持ち",41
"出来る, 気持ち, 為る",45
"分かる, 気持ち",42
"分かる, 気持ち, 為る",40
"仕舞う, 成る, 気持ち",33
"仕舞う, 成る, 気持ち, 為る",30
"仕舞う, 気持ち, 為る",41
"ユウサク, 気持ち",48
"ユウサク, 気持ち, 為る",59
"気持ち, 遣る",48
"気持ち, 為る, 遣る",46
"描く, 気持ち",57
"成る, 気持ち, 行く",32
"気持ち, 為る, 行く",48
"成る, 来る, 気持ち",51
"成る, 来る, 気持ち, 為る",53
"来る, 気持ち, 為る",64
"来る, 気持ち, 為る, 為る",36
"思う, 気持ち, 言う",30
"思う, 気持ち, 為る, 言う",37
"思う, 気持ち, 良い",30
"居る, 思う, 気持ち",49
"居る, 思う, 気持ち, 為る",68
"思う, 気持ち, 為る",84
"思う, 気持ち, 為る, 為る",62
"事, 気持ち, 無い",30
"事, 気持ち, 為る, 無い",55
"事, 成る, 気持ち",33
"事, 成る, 気持ち, 為る",41
"事, 有る, 気持ち",42
"事, 有る, 気持ち, 為る",56
"事, 居る, 気持ち",44
"事, 居る, 気持ち, 為る",52
"事, 気持ち, 言う",51
"事, 気持ち, 為る, 言う",49
"事, 気持ち, 為る",96
"事, 気持ち, 為る, 為る",64
"気持ち, 見る, 言う",36
"成る, 気持ち, 見る",42
"居る, 気持ち, 見る",43
"居る, 気持ち, 為る, 見る",30
"気持ち, 為る, 見る",53
"有る, 気持ち, 無い",31
"有る, 気持ち, 為る, 無い",40
"居る, 成る, 気持ち, 無い",31
"居る, 成る, 気持ち, 為る, 無い",64
"居る, 気持ち, 為る, 無い",61
"居る, 気持ち, 為る, 為る, 無い",50
"気持ち, 無い, 良い, 言う",39
"気持ち, 為る, 無い, 良い, 言う",71
"気持ち, 為る, 無い, 良い",70
"気持ち, 為る, 為る, 無い, 良い",45
"成る, 気持ち, 無い",53
"成る, 気持ち, 為る, 無い",72
"気持ち, 無い, 言う",57
"気持ち, 為る, 無い, 言う",74
"気持ち, 為る, 無い",120
"気持ち, 為る, 為る, 無い",90
"成る, 有る, 気持ち, 言う",31
"成る, 有る, 気持ち, 為る",32
"有る, 気持ち, 良い, 言う",32
"有る, 気持ち, 為る, 良い, 言う",46
"有る, 気持ち, 為る, 良い",43
"居る, 有る, 気持ち, 言う",43
"居る, 有る, 気持ち, 為る, 言う",46
"居る, 有る, 気持ち, 為る",71
"居る, 有る, 気持ち, 為る, 為る",58
"有る, 気持ち, 言う",61
"有る, 気持ち, 為る, 言う",57
"有る, 気持ち, 為る",104
"有る, 気持ち, 為る, 為る",71
"成る, 気持ち, 良い, 言う, 言う",37
"成る, 気持ち, 為る, 良い, 言う, 言う",72
"成る, 気持ち, 為る, 良い, 言う",65
"成る, 気持ち, 為る, 為る, 良い, 言う",36
"成る, 気持ち, 為る, 良い",49
"成る, 気持ち, 為る, 為る, 良い",30
"居る, 気持ち, 良い, 言う",31
"居る, 気持ち, 為る, 良い, 言う",38
"居る, 気持ち, 為る, 良い",66
"居る, 気持ち, 為る, 為る, 良い",42
"気持ち, 良い, 言う, 言う",30
"気持ち, 為る, 良い, 言う, 言う",51
"気持ち, 為る, 良い, 言う",81
"気持ち, 為る, 為る, 良い, 言う",43
"気持ち, 為る, 良い",125
"気持ち, 為る, 為る, 良い",72
"居る, 居る, 気持ち",42
"居る, 居る, 気持ち, 為る",42
"居る, 成る, 気持ち, 言う",40
"居る, 成る, 気持ち, 為る, 言う",48
"居る, 気持ち, 為る, 言う",70
"居る, 気持ち, 為る, 為る, 言う",47
"居る, 成る, 気持ち",78
"居る, 成る, 気持ち, 為る",86
"居る, 気持ち, 為る",166
"居る, 気持ち, 為る, 為る",105
"成る, 気持ち, 言う, 言う",32
"成る, 気持ち, 為る, 言う, 言う",39
"気持ち, 為る, 言う, 言う",45
"成る, 気持ち, 言う",91
"成る, 気持ち, 為る, 言う",76
"気持ち, 為る, 言う",133
"気持ち, 為る, 為る, 言う",75
"成る, 成る, 気持ち",35
"成る, 成る, 気持ち, 為る",48
"成る, 気持ち, 為る",159
"成る, 気持ち, 為る, 為る",94
"気持ち, 為る",348
"気持ち, 為る, 為る",194
"一, 知れる",30
"一, 為る, 知れる",36
"居る, 映画, 知れる",31
"居る, 映画, 為る, 知れる",75
"映画, 為る, 知れる",55
"映画, 為る, 為る, 知れる",47
"出る, 知れる",33
"出る, 為る, 知れる",30
"所, 知れる",35
"所, 為る, 知れる",53
"方, 知れる",35
"方, 為る, 知れる",44
"物, 知れる",36
"為る, 物, 知れる",36
"知れる, 話",37
"為る, 知れる, 話",37
"知れる, 遣る",38
"為る, 知れる, 遣る",34
"時, 知れる",39
"時, 為る, 知れる",57
"出来る, 知れる",43
"出来る, 為る, 知れる",48
"有る, 知れる, 自分",30
"有る, 為る, 知れる, 自分",43
"居る, 知れる, 自分",32
"居る, 為る, 知れる, 自分",55
"為る, 知れる, 自分",51
"来る, 知れる",45
"来る, 為る, 知れる",39
"分かる, 居る, 知れる",33
"分かる, 居る, 為る, 知れる",52
"分かる, 為る, 知れる",57
"仕舞う, 知れる",48
"仕舞う, 為る, 知れる",59
"人, 居る, 無い, 知れる",36
"人, 居る, 為る, 無い, 知れる",70
"人, 為る, 無い, 知れる",52
"人, 為る, 為る, 無い, 知れる",35
"人, 居る, 知れる, 言う",37
"人, 居る, 為る, 知れる, 言う",65
"人, 為る, 知れる, 言う",54
"人, 為る, 為る, 知れる, 言う",39
"人, 居る, 知れる",61
"人, 居る, 為る, 知れる",122
"人, 為る, 知れる",81
"人, 為る, 為る, 知れる",62
"成る, 気, 知れる",31
"成る, 気, 為る, 知れる",39
"居る, 気, 知れる",46
"居る, 気, 為る, 知れる",94
"気, 為る, 知れる",91
"気, 為る, 為る, 知れる",59
"知れる, 行く",61
"為る, 知れる, 行く",50
"事, 居る, 思う, 知れる",30
"事, 居る, 思う, 為る, 知れる",49
"事, 思う, 為る, 知れる",43
"事, 無い, 知れる, 言う",32
"事, 為る, 無い, 知れる, 言う",40
"事, 為る, 無い, 知れる",62
"事, 為る, 為る, 無い, 知れる",42
"事, 有る, 知れる, 言う",40
"事, 有る, 為る, 知れる, 言う",53
"事, 居る, 居る, 有る, 知れる",41
"事, 居る, 居る, 有る, 為る, 知れる",102
"事, 居る, 有る, 為る, 知れる",117
"事, 居る, 有る, 為る, 為る, 知れる",124
"事, 有る, 為る, 知れる",77
"事, 有る, 為る, 為る, 知れる",67
"事, 居る, 知れる, 言う",50
"事, 居る, 為る, 知れる, 言う",89
"事, 為る, 知れる, 言う",80
"事, 為る, 為る, 知れる, 言う",59
"事, 居る, 居る, 知れる",49
"事, 居る, 居る, 為る, 知れる",121
"事, 居る, 為る, 知れる",168
"事, 居る, 為る, 為る, 知れる",172
"事, 為る, 知れる",135
"事, 為る, 為る, 知れる",102
"思う, 知れる, 見る",31
"思う, 為る, 知れる, 見る",30
"知れる, 見る, 言う",36
"為る, 知れる, 見る, 言う",38
"無い, 知れる, 見る",43
"為る, 無い, 知れる, 見る",57
"居る, 有る, 知れる, 見る",31
"居る, 有る, 為る, 知れる, 見る",69
"有る, 知れる, 良い, 見る",35
"有る, 為る, 知れる, 良い, 見る",39
"有る, 為る, 知れる, 見る",67
"有る, 為る, 為る, 知れる, 見る",42
"知れる, 良い, 見る",47
"為る, 知れる, 良い, 見る",54
"居る, 知れる, 見る",58
"居る, 為る, 知れる, 見る",103
"為る, 知れる, 見る",125
"為る, 為る, 知れる, 見る",66
"思う, 知れる, 良い",41
"思う, 為る, 知れる, 良い",34
"居る, 知れる, 良い, 言う",31
"居る, 為る, 知れる, 良い, 言う",38
"為る, 知れる, 良い, 言う",40
"成る, 知れる, 良い",43
"成る, 為る, 知れる, 良い",55
"有る, 知れる, 良い",45
"居る, 知れる, 良い",55
"居る, 為る, 知れる, 良い",64
"為る, 知れる, 良い",119
"為る, 為る, 知れる, 良い",66
"思う, 無い, 知れる, 言う",32
"思う, 為る, 無い, 知れる, 言う",38
"居る, 思う, 無い, 知れる",33
"居る, 思う, 為る, 無い, 知れる",41
"思う, 為る, 無い, 知れる",52
"居る, 思う, 知れる, 言う",44
"居る, 思う, 為る, 知れる, 言う",52
"思う, 為る, 知れる, 言う",54
"思う, 為る, 為る, 知れる, 言う",34
"居る, 居る, 思う, 有る, 知れる",34
"居る, 居る, 思う, 有る, 為る, 知れる",63
"居る, 思う, 有る, 為る, 知れる",79
"居る, 思う, 有る, 為る, 為る, 知れる",43
"思う, 有る, 為る, 知れる",65
"思う, 有る, 為る, 為る, 知れる",34
"居る, 居る, 思う, 知れる",33
"居る, 居る, 思う, 為る, 知れる",57
"居る, 思う, 為る, 知れる",107
"居る, 思う, 為る, 為る, 知れる",56
"思う, 為る, 知れる",122
"思う, 為る, 為る, 知れる",59
"成る, 無い, 知れる",39
"成る, 為る, 無い, 知れる",52
"成る, 有る, 知れる",42
"成る, 有る, 為る, 知れる",46
"居る, 成る, 知れる, 言う",34
"居る, 成る, 為る, 知れる, 言う",54
"成る, 為る, 知れる, 言う",59
"成る, 為る, 為る, 知れる, 言う",33
"居る, 成る, 知れる",54
"居る, 成る, 為る, 知れる",82
"成る, 為る, 知れる",118
"成る, 為る, 為る, 知れる",65
"無い, 無い, 知れる",40
"為る, 無い, 無い, 知れる",41
"居る, 有る, 無い, 知れる, 言う",32
"居る, 有る, 為る, 無い, 知れる, 言う",49
"居る, 有る, 為る, 無い, 知れる",58
"居る, 有る, 為る, 為る, 無い, 知れる",54
"有る, 無い, 知れる, 言う",40
"有る, 為る, 無い, 知れる, 言う",40
"有る, 為る, 無い, 知れる",59
"有る, 為る, 為る, 無い, 知れる",30
"居る, 無い, 知れる, 言う",54
"居る, 為る, 無い, 知れる, 言う",78
"居る, 為る, 無い, 知れる",129
"居る, 為る, 為る, 無い, 知れる",89
"無い, 知れる, 言う",92
"為る, 無い, 知れる, 言う",104
"為る, 無い, 知れる",172
"為る, 為る, 無い, 知れる",102
"有る, 有る, 知れる",31
"有る, 有る, 為る, 知れる",40
"居る, 居る, 有る, 知れる, 言う",30
"居る, 居る, 有る, 為る, 知れる, 言う",73
"居る, 有る, 為る, 知れる, 言う",92
"居る, 有る, 為る, 為る, 知れる, 言う",85
"有る, 為る, 知れる, 言う",86
"有る, 為る, 為る, 知れる, 言う",53
"居る, 居る, 有る, 知れる",52
"居る, 居る, 有る, 為る, 知れる",123
"居る, 有る, 為る, 知れる",199
"居る, 有る, 為る, 為る, 知れる",170
"有る, 為る, 知れる",184
"有る, 為る, 為る, 知れる",112
"知れる, 言う, 言う",47
"為る, 知れる, 言う, 言う",47
"居る, 居る, 知れる, 言う",43
"居る, 居る, 為る, 知れる, 言う",103
"居る, 為る, 知れる, 言う",182
"居る, 為る, 為る, 知れる, 言う",159
"為る, 知れる, 言う",189
"為る, 為る, 知れる, 言う",108
"居る, 居る, 知れる",84
"居る, 居る, 為る, 知れる",180
"居る, 為る, 知れる",364
"居る, 為る, 為る, 知れる",273
"為る, 知れる",474
"為る, 為る, 知れる",254
"作る, 出来る",32
"作る, 出来る, 為る",31
"作る, 行く",32
"作る, 為る, 行く",32
"作る, 食べる",32
"作る, 欲しい",34
"作る, 御座る",35
"作る, 作る",37
"作る, 来る",38
"作る, 来る, 為る",42
"事, 作る",48
"事, 作る, 為る",46
"作る, 有る",62
"作る, 有る, 為る",73
"作る, 居る, 思う",36
"作る, 居る, 思う, 為る",68
"作る, 思う, 為る",75
"作る, 思う, 為る, 為る",49
"作る, 成る",69
"作る, 成る, 為る",59
"作る, 見る",70
"作る, 為る, 見る",49
"作る, 無い",72
"作る, 為る, 無い",68
"作る, 居る, 言う",30
"作る, 居る, 為る, 言う",39
"作る, 為る, 言う",80
"作る, 為る, 為る, 言う",35
"作る, 居る, 良い",32
"作る, 居る, 為る, 良い",51
"作る, 為る, 良い",78
"作る, 為る, 為る, 良い",48
"作る, 居る, 居る",32
"作る, 居る, 居る, 為る",51
"作る, 居る, 為る",133
"作る, 居る, 為る, 為る",92
"作る, 為る",292
"作る, 為る, 為る",132
"方, 考える",32
"方, 為る, 考える",41
"御座る, 考える",32
"欲しい, 考える",33
"欲しい, 為る, 考える",42
"オガタ, ユウサク, 為る, 考える",41
"オガタ, ユウサク, 居る, 為る, 考える",80
"オガタ, 居る, 為る, 考える",58
"オガタ, 居る, 居る, 為る, 考える",54
"オガタ, ユウサク, 考える",34
"オガタ, ユウサク, 居る, 考える",47
"オガタ, 居る, 考える",44
"オガタ, 居る, 居る, 考える",33
"出る, 考える",37
"イサム, 考える",39
"気, 考える",39
"気, 為る, 考える",56
"出来る, 居る, 考える",34
"出来る, 居る, 為る, 考える",39
"出来る, 為る, 考える",46
"今, 考える",40
"今, 為る, 考える",41
"居る, 時, 考える",38
"居る, 時, 為る, 考える",45
"時, 為る, 考える",48
"時, 為る, 為る, 考える",33
"居る, 描く, 考える",31
"居る, 描く, 為る, 考える",41
"描く, 為る, 考える",45
"居る, 考える, 遣る",30
"居る, 為る, 考える, 遣る",41
"為る, 考える, 遣る",44
"居る, 考える, 話",45
"居る, 為る, 考える, 話",58
"為る, 考える, 話",55
"為る, 為る, 考える, 話",32
"分かる, 居る, 考える",40
"分かる, 居る, 為る, 考える",45
"分かる, 為る, 考える",47
"有る, 物, 考える",32
"有る, 為る, 物, 考える",35
"居る, 物, 考える",42
"居る, 為る, 物, 考える",65
"為る, 物, 考える",62
"為る, 為る, 物, 考える",33
"仕舞う, 居る, 考える",38
"仕舞う, 居る, 為る, 考える",63
"仕舞う, 為る, 考える",69
"仕舞う, 為る, 為る, 考える",45
"事, 人, 為る, 考える",44
"事, 人, 居る, 為る, 考える",78
"事, 人, 居る, 考える",50
"事, 人, 居る, 居る, 考える",69
"人, 考える, 言う",33
"人, 為る, 考える, 言う",39
"人, 無い, 考える",33
"人, 為る, 無い, 考える",49
"人, 居る, 居る, 居る, 居る, 考える",32
"人, 居る, 居る, 居る, 居る, 為る, 考える",62
"人, 居る, 居る, 居る, 為る, 考える",88
"人, 居る, 居る, 居る, 為る, 為る, 考える",40
"人, 居る, 居る, 為る, 考える",88
"人, 居る, 居る, 為る, 為る, 考える",38
"人, 居る, 為る, 考える",92
"人, 居る, 為る, 為る, 考える",49
"人, 為る, 考える",75
"人, 為る, 為る, 考える",40
"事, 考える, 行く",30
"事, 為る, 考える, 行く",45
"居る, 考える, 行く",46
"居る, 為る, 考える, 行く",58
"為る, 考える, 行く",71
"為る, 為る, 考える, 行く",33
"事, 来る, 考える",31
"事, 来る, 為る, 考える",35
"居る, 来る, 考える",45
"居る, 来る, 為る, 考える",54
"来る, 為る, 考える",62
"来る, 為る, 為る, 考える",41
"ユウサク, 事, 考える",32
"ユウサク, 為る, 考える",53
"ユウサク, 居る, 為る, 考える",68
"ユウサク, 居る, 考える",59
"思う, 考える, 見る",34
"居る, 思う, 考える, 見る",48
"事, 為る, 考える, 見る",39
"事, 居る, 為る, 考える, 見る",90
"事, 居る, 考える, 見る",68
"事, 居る, 居る, 考える, 見る",85
"為る, 為る, 考える, 見る",34
"居る, 為る, 為る, 考える, 見る",43
"居る, 為る, 考える, 見る",85
"居る, 居る, 為る, 考える, 見る",107
"居る, 考える, 見る",77
"居る, 居る, 考える, 見る",70
"成る, 考える, 自分",33
"成る, 為る, 考える, 自分",38
"事, 無い, 考える, 自分",35
"事, 為る, 無い, 考える, 自分",54
"為る, 無い, 考える, 自分",51
"為る, 為る, 無い, 考える, 自分",31
"事, 居る, 考える, 自分",50
"事, 居る, 為る, 考える, 自分",79
"事, 為る, 考える, 自分",85
"事, 為る, 為る, 考える, 自分",51
"居る, 考える, 自分",66
"居る, 為る, 考える, 自分",80
"為る, 考える, 自分",96
"為る, 為る, 考える, 自分",50
"考える, 良い, 言う",33
"為る, 考える, 良い, 言う",33
"思う, 考える, 良い",35
"思う, 為る, 考える, 良い",32
"有る, 考える, 良い",36
"有る, 為る, 考える, 良い",35
"事, 考える, 良い",38
"事, 為る, 考える, 良い",48
"居る, 考える, 良い",48
"居る, 為る, 考える, 良い",72
"為る, 考える, 良い",96
"為る, 為る, 考える, 良い",64
"居る, 思う, 成る, 考える",33
"居る, 思う, 成る, 為る, 考える",38
"思う, 成る, 為る, 考える",39
"事, 居る, 思う, 無い, 考える",35
"事, 居る, 思う, 為る, 無い, 考える",63
"居る, 思う, 為る, 無い, 考える",81
"居る, 思う, 為る, 為る, 無い, 考える",79
"事, 思う, 無い, 考える",43
"事, 思う, 為る, 無い, 考える",82
"思う, 為る, 無い, 考える",86
"思う, 為る, 為る, 無い, 考える",74
"思う, 有る, 考える",46
"思う, 有る, 為る, 考える",57
"居る, 思う, 考える, 言う",32
"居る, 思う, 為る, 考える, 言う",35
"事, 思う, 考える, 言う",36
"事, 思う, 為る, 考える, 言う",52
"思う, 為る, 考える, 言う",68
"思う, 為る, 為る, 考える, 言う",38
"事, 居る, 居る, 居る, 居る, 思う, 考える",30
"事, 居る, 居る, 居る, 居る, 思う, 為る, 考える",60
"事, 居る, 居る, 居る, 思う, 為る, 考える",85
"事, 居る, 居る, 居る, 思う, 為る, 為る, 考える",46
"事, 居る, 居る, 思う, 為る, 考える",100
"事, 居る, 居る, 思う, 為る, 為る, 考える",61
"事, 居る, 思う, 為る, 考える",114
"事, 居る, 思う, 為る, 為る, 考える",74
"事, 思う, 為る, 考える",102
"事, 思う, 為る, 為る, 考える",61
"居る, 居る, 思う, 考える",46
"居る, 居る, 思う, 為る, 考える",75
"居る, 思う, 為る, 考える",131
"居る, 思う, 為る, 為る, 考える",93
"思う, 為る, 考える",137
"思う, 為る, 為る, 考える",88
"成る, 無い, 考える, 言う",30
"成る, 為る, 無い, 考える, 言う",58
"居る, 成る, 無い, 考える",36
