名詞,名詞数,動詞,動詞数,形容詞,形容詞数
在日,1,離れる,15.0,,
差別,152,流す,7.0,,
年,199,覆す,2.0,,
施設,7,うかがえる,5.0,,
展,35,示す,28.0,,
京都,33,もらえる,19.0,,
千,4,伴う,7.0,,
移転,1,栄える,1.0,,
社会,72,儲かる,1.0,,
地域,10,いなす,2.0,,
ニュース,9,報う,1.0,,
新聞,9,付き合う,3.0,,
リクエスト,5,ふっかける,4.0,,
やつ,9,なさる,14.0,,
杉尾,33,窺える,10.0,,
今日,64,出会う,20.0,,
下克上,2,いたる,4.0,,
余裕,6,優れる,7.0,,
歯,5,書き出す,1.0,,
すべて,52,言い残す,2.0,,
繰り返し,4,つまる,7.0,,
口,30,生まれる,34.0,,
中,153,とく,5.0,,
こ,10,向く,6.0,,
感じ,43,うむ,5.0,,
リアル,3,向かう,15.0,,
悪夢,1,仕上げる,3.0,,
消耗,5,望む,16.0,,
すぎ,16,誘う,7.0,,
度,68,乞う,3.0,,
疲れ,3,決まる,13.0,,
すてき,21,至る,29.0,,
絵,39,含める,11.0,,
申し訳,20,転ぶ,2.0,,
目,97,詠む,4.0,,
同人,85,亡くす,4.0,,
誌,77,還る,3.0,,
づくり,12,加える,30.0,,
フリー,1,捉える,20.0,,
素材,8,直す,8.0,,
装幀,8,向き合う,10.0,,
小口,7,禁じる,7.0,,
藍色,3,える,27.0,,
カバー,9,掘り下げる,8.0,,
予定,34,投じる,5.0,,
柄,5,抱く,20.0,,
ページ,42,呼ぶ,19.0,,
索引,8,位置づける,2.0,,
長編,9,尊ぶ,2.0,,
群像,7,引き出せる,1.0,,
劇,13,出しゃばる,1.0,,
密度,1,挙げる,8.0,,
主,7,推す,11.0,,
線,21,刻む,12.0,,
伏線,14,続く,30.0,,
構造,77,押す,6.0,,
明快,2,ひねり出す,1.0,,
相互,13,満ちる,11.0,,
私信,2,散らす,1.0,,
考え,9,あやかる,3.0,,
肯定,36,こしらえる,1.0,,
みんな,29,申し込む,4.0,,
